unix_time, readable_time, sample_index, sequence, D0, D1, D2, D3, A1_(EMG), A2_(EDA), A3_(ECG), A4, A5, A6
1769151046.290024,2026-01-23 15:50:46.290,126,14,1,1,0,0,511,1020,519,2,0,0
1769151046.291024,2026-01-23 15:50:46.291,127,15,1,1,0,0,512,1020,519,2,0,0
1769151046.292024,2026-01-23 15:50:46.292,128,0,1,1,0,0,511,1020,519,2,0,0
1769151046.293024,2026-01-23 15:50:46.293,129,1,1,1,0,0,513,1020,518,2,0,0
1769151046.294024,2026-01-23 15:50:46.294,130,2,1,1,0,0,512,1020,518,2,0,0
1769151046.295024,2026-01-23 15:50:46.295,131,3,1,1,0,0,510,1020,517,2,0,0
1769151046.296024,2026-01-23 15:50:46.296,132,4,1,1,0,0,513,1020,515,2,0,0
1769151046.297024,2026-01-23 15:50:46.297,133,5,1,1,0,0,512,1020,514,2,0,0
1769151046.298024,2026-01-23 15:50:46.298,134,6,1,1,0,0,512,1020,514,2,0,0
1769151046.299024,2026-01-23 15:50:46.299,135,7,1,1,0,0,511,1020,514,2,0,0
1769151046.300024,2026-01-23 15:50:46.300,136,8,1,1,0,0,512,1020,514,2,0,0
1769151046.301024,2026-01-23 15:50:46.301,137,9,1,1,0,0,512,1020,515,2,0,0
1769151046.302024,2026-01-23 15:50:46.302,138,10,1,1,0,0,511,1020,515,2,0,0
1769151046.303024,2026-01-23 15:50:46.303,139,11,1,1,0,0,511,1020,516,2,0,0
1769151046.304024,2026-01-23 15:50:46.304,140,12,1,1,0,0,512,1020,517,2,0,0
1769151046.305024,2026-01-23 15:50:46.305,141,13,1,1,0,0,511,1020,517,2,0,0
1769151046.306024,2026-01-23 15:50:46.306,142,14,1,1,0,0,510,1020,517,2,0,0
1769151046.307024,2026-01-23 15:50:46.307,143,15,1,1,0,0,509,1020,518,2,0,0
1769151046.308024,2026-01-23 15:50:46.308,144,0,1,1,0,0,508,1020,517,2,0,0
1769151046.309024,2026-01-23 15:50:46.309,145,1,1,1,0,0,508,1020,516,2,0,0
1769151046.310024,2026-01-23 15:50:46.310,146,2,1,1,0,0,511,1020,516,2,0,0
1769151046.311024,2026-01-23 15:50:46.311,147,3,1,1,0,0,512,1020,515,2,0,0
1769151046.312024,2026-01-23 15:50:46.312,148,4,1,1,0,0,511,1020,515,2,0,0
1769151046.313024,2026-01-23 15:50:46.313,149,5,1,1,0,0,512,1020,514,2,0,0
1769151046.314024,2026-01-23 15:50:46.314,150,6,1,1,0,0,511,1020,514,2,0,0
1769151046.315024,2026-01-23 15:50:46.315,151,7,1,1,0,0,512,1020,513,2,0,0
1769151046.316024,2026-01-23 15:50:46.316,152,8,1,1,0,0,512,1020,514,2,0,0
1769151046.317024,2026-01-23 15:50:46.317,153,9,1,1,0,0,511,1020,514,2,0,0
1769151046.318024,2026-01-23 15:50:46.318,154,10,1,1,0,0,513,1020,515,2,0,0
1769151046.319024,2026-01-23 15:50:46.319,155,11,1,1,0,0,514,1020,516,2,0,0
1769151046.320024,2026-01-23 15:50:46.320,156,12,1,1,0,0,513,1020,517,2,0,0
1769151046.321024,2026-01-23 15:50:46.321,157,13,1,1,0,0,514,1020,517,2,0,0
1769151046.322024,2026-01-23 15:50:46.322,158,14,1,1,0,0,512,1020,517,2,0,0
1769151046.323024,2026-01-23 15:50:46.323,159,15,1,1,0,0,512,1020,517,2,0,0
1769151046.324024,2026-01-23 15:50:46.324,160,0,1,1,0,0,511,1020,517,2,0,0
1769151046.325024,2026-01-23 15:50:46.325,161,1,1,1,0,0,511,1020,518,2,0,0
1769151046.326024,2026-01-23 15:50:46.326,162,2,1,1,0,0,509,1020,517,2,0,0
1769151046.327024,2026-01-23 15:50:46.327,163,3,1,1,0,0,512,1020,516,2,0,0
1769151046.328024,2026-01-23 15:50:46.328,164,4,1,1,0,0,512,1020,516,2,0,0
1769151046.329024,2026-01-23 15:50:46.329,165,5,1,1,0,0,512,1020,515,2,0,0
1769151046.330024,2026-01-23 15:50:46.330,166,6,1,1,0,0,513,1020,514,2,0,0
1769151046.331024,2026-01-23 15:50:46.331,167,7,1,1,0,0,508,1020,512,2,0,0
1769151046.332024,2026-01-23 15:50:46.332,168,8,1,1,0,0,512,1020,512,2,0,0
1769151046.333024,2026-01-23 15:50:46.333,169,9,1,1,0,0,512,1020,512,2,0,0
1769151046.334024,2026-01-23 15:50:46.334,170,10,1,1,0,0,512,1020,513,2,0,0
1769151046.335024,2026-01-23 15:50:46.335,171,11,1,1,0,0,510,1020,514,2,0,0
1769151046.336024,2026-01-23 15:50:46.336,172,12,1,1,0,0,511,1020,514,2,0,0
1769151046.337024,2026-01-23 15:50:46.337,173,13,1,1,0,0,512,1020,515,2,0,0
1769151046.338024,2026-01-23 15:50:46.338,174,14,1,1,0,0,510,1020,516,2,0,0
1769151046.339024,2026-01-23 15:50:46.339,175,15,1,1,0,0,511,1020,516,2,0,0
1769151046.340024,2026-01-23 15:50:46.340,176,0,1,1,0,0,510,1020,516,2,0,0
1769151046.341024,2026-01-23 15:50:46.341,177,1,1,1,0,0,513,1020,516,2,0,0
1769151046.342024,2026-01-23 15:50:46.342,178,2,1,1,0,0,512,1020,515,2,0,0
1769151046.343024,2026-01-23 15:50:46.343,179,3,1,1,0,0,512,1020,515,2,0,0
1769151046.344024,2026-01-23 15:50:46.344,180,4,1,1,0,0,510,1020,514,2,0,0
1769151046.345024,2026-01-23 15:50:46.345,181,5,1,1,0,0,509,1020,513,2,0,0
1769151046.346024,2026-01-23 15:50:46.346,182,6,1,1,0,0,510,1020,513,2,0,0
1769151046.347024,2026-01-23 15:50:46.347,183,7,1,1,0,0,510,1020,512,2,0,0
1769151046.348024,2026-01-23 15:50:46.348,184,8,1,1,0,0,510,1020,511,2,0,0
1769151046.349024,2026-01-23 15:50:46.349,185,9,1,1,0,0,512,1020,511,2,0,0
1769151046.350024,2026-01-23 15:50:46.350,186,10,1,1,0,0,512,1020,511,2,0,0
1769151046.351024,2026-01-23 15:50:46.351,187,11,1,1,0,0,512,1020,512,2,0,0
1769151046.352024,2026-01-23 15:50:46.352,188,12,1,1,0,0,512,1020,513,2,0,0
1769151046.353024,2026-01-23 15:50:46.353,189,13,1,1,0,0,512,1020,513,2,0,0
1769151046.354024,2026-01-23 15:50:46.354,190,14,1,1,0,0,510,1020,514,2,0,0
1769151046.355024,2026-01-23 15:50:46.355,191,15,1,1,0,0,512,1020,514,2,0,0
1769151046.356024,2026-01-23 15:50:46.356,192,0,1,1,0,0,514,1020,514,2,0,0
