EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
512,1.522509175379333,1020,1019.9887894677524,508,-0.7386410412673318,19.197
512,1.5327772615192314,1020,1019.9887891896312,508,-0.9399081279534733,19.198
514,1.520023746946631,1020,1019.988788908938,509,-1.145078771210991,19.199
513,1.5300594417249813,1020,1019.9887886256677,509,-1.356417211393125,19.2
509,1.5169802728572388,1020,1019.9887883398158,510,-1.5766262514105407,19.201
510,1.4936141156853926,1020,1019.9887880513782,509,-1.8084153174115143,19.202
508,1.486117658882263,1020,1019.9887877603512,509,-2.0540790717541944,19.203
511,1.4641785001437253,1020,1019.9887874667313,508,-2.3151311182092953,19.204
511,1.4263125930370586,1020,1019.9887871705148,508,-2.5920247089601127,19.205
509,1.3510685487979928,1020,1019.988786871698,508,-2.8839780142724916,19.206
512,1.3475959925179906,1020,1019.9887865702774,507,-3.188908271173503,19.207
511,1.3735158556872,1020,1019.9887862662492,506,-3.5034677327714845,19.208
513,1.3298603937619382,1020,1019.9887859596099,505,-3.8231647042644887,19.209
512,1.2542575305714445,1020,1019.9887856503562,505,-4.142546158160732,19.21
512,1.2127185036003956,1020,1019.9887853384855,505,-4.455416737696791,19.211
512,1.1565775393549895,1020,1019.9887850239954,505,-4.755073496374241,19.212
512,1.1747387018774096,1020,1019.9887847068837,505,-5.034544691299408,19.213
517,1.1980943388333591,1020,1019.9887843871486,505,-5.286830674119931,19.214
512,1.252387733590631,1020,1019.9887840647887,505,-5.505152226376352,19.215
510,1.274084996602476,1020,1019.9887837398026,505,-5.683215081104068,19.216
509,1.2777862795893073,1020,1019.9887834121889,505,-5.815498672195386,19.217
509,1.289629131375259,1020,1019.9887830819464,505,-5.897572707275398,19.218
510,1.2774263218552184,1020,1019.9887827490736,504,-5.926437557077932,19.219
510,1.272176013642087,1020,1019.9887824135687,504,-5.90087474457152,19.22
511,1.2579235103775877,1020,1019.98878207543,504,-5.821783903707955,19.221
512,1.261913991100711,1020,1019.988781734655,504,-5.692474895705165,19.222
510,1.2562146536545935,1020,1019.9887813912412,504,-5.518879961043745,19.223
510,1.2793196184116549,1020,1019.9887810451858,504,-5.309650837309074,19.224
512,1.2769088542736255,1020,1019.9887806964855,504,-5.076108814160829,19.225
511,1.277379652836053,1020,1019.9887803451372,504,-4.83202125234188,19.226
512,1.2750182703041424,1020,1019.9887799911378,504,-4.593186345121751,19.227
510,1.2775374037775606,1020,1019.9887796344844,504,-4.37681923532519,19.228
511,1.2163764760972924,1020,1019.9887792751745,504,-4.200747279516118,19.229
511,1.279073457556302,1020,1019.9887789132047,505,-4.0824402534346955,19.23
513,1.3797127198221415,1020,1019.9887785485723,506,-4.037921940638287,19.231
513,1.4021365964053427,1020,1019.9887781812747,507,-4.08063072521339,19.232
513,1.3994155620790967,1020,1019.9887778113091,507,-4.220314565726738,19.233
512,1.4292709009502098,1020,1019.9887774386727,507,-4.4620554718701975,19.234
513,1.5025395782258533,1020,1019.9887770633625,507,-4.805517566060173,19.235
511,1.642568310719461,1020,1019.9887766853747,508,-5.244501322217033,19.236
510,1.7723776090700791,1020,1019.9887763047052,507,-5.766866597625381,19.237
509,1.9135721609798515,1020,1019.9887759213495,505,-6.3548598595826284,19.238
508,1.9810483324795276,1020,1019.9887755353031,504,-6.985847333770491,19.239
510,1.9013880202248559,1020,1019.9887751465615,503,-7.633418628463352,19.24
510,1.9705069716033425,1020,1019.9887747551204,502,-8.268790399379409,19.241
509,2.0316394016955903,1020,1019.9887743609754,500,-8.862411917649142,19.242
511,2.0614937342534874,1020,1019.988773964122,499,-9.385655971176977,19.243
511,2.0867879261665347,1020,1019.9887735645555,498,-9.812469676972773,19.244
511,2.171373239172671,1020,1019.988773162271,497,-10.120861343515587,19.245
512,2.2619652694047065,1020,1019.9887727572639,497,-10.294112452844754,19.246
512,2.339804886536676,1020,1019.9887723495301,497,-10.321627722818912,19.247
513,2.3420994035504736,1020,1019.9887719390651,499,-10.199368902375792,19.248
514,2.3174257959666495,1020,1019.9887715258644,499,-9.9298556709153,19.249
513,2.316252096863945,1020,1019.9887711099234,500,-9.52175454802313,19.25
513,2.3305317024701075,1020,1019.9887706912375,501,-8.989108840737718,19.251
513,2.3715159191638753,1020,1019.9887702698022,502,-8.350286394062776,19.252
511,2.4088032746523544,1020,1019.988769845613,504,-7.626737072488409,19.253
515,2.463191584827954,1020,1019.9887694186657,505,-6.841659105145781,19.254
516,2.465352721077784,1020,1019.9887689889563,505,-6.018672385905788,19.255
515,2.495755755115706,1020,1019.9887685564806,506,-5.18058703645932,19.256
511,2.472454364650685,1020,1019.9887681212342,507,-4.348338321797193,19.257
510,2.5105207506880634,1020,1019.988767683212,507,-3.5401378383244873,19.258
505,3.0656406237298834,1020,1019.9887672424086,508,-2.770869357678322,19.259
504,3.751236184410766,1020,1019.988766798818,508,-2.051737772633656,19.26
503,4.205474955911721,1020,1019.9887663524339,509,-1.3901621498715886,19.261
504,4.413804652478576,1020,1019.9887659032499,509,-0.7898896794874462,19.262
506,5.479140163029097,1020,1019.9887654512602,509,-0.25129675770142534,19.263
513,6.203583026397414,1020,1019.9887649964592,510,0.22816338290241114,19.264
515,6.207175343994063,1020,1019.988764538841,510,0.6534100624686275,19.265
